Ticker;Publico Alvo;Tipo de FII;Administrador;ultimo_rendimento_reais;ultimo_rendimento_perc;Data Pagamento;Data Base;rend_medio_12m_reais;rend_medio_12m_perc;patrimonio_por_cota;cotacao_por_vp;nro_negocios_por_mes;participacao_IFIX;Numero Cotistas;Patrimonio;Cota base
QIFF11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,73;0,70;15/06/2021;31/05/2021;0,63;0,60;96,15;1,09;321,00;0,00;188,00;14422226,23;104,90
RBBV11;Geral;Tijolo: Desenvolvimento;Caixa Econômica Federal;27,19;27,60;08/07/2021;02/06/2021;0,00;0,00;100,31;0,98;732,00;0,00;3143,00;125807524,80;98,50
RBCO11;Geral;Tijolo: Escritórios;BRL Trust DTVM;0,39;0,67;15/06/2021;31/05/2021;0,50;0,85;101,11;0,58;7682,00;0,00;4236,00;382112991,30;58,29
RBDS11;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;1,84;2,65;10/12/2019;29/11/2019;1,92;2,75;31,06;2,24;281,00;0,00;1017,00;3930061,20;69,60
RBED11;Geral;Tijolo: Educacional;Rio Bravo Investimentos;1,03;0,70;15/06/2021;31/05/2021;1,10;0,74;150,32;0,98;6435,00;0,30;11879,00;303894530,56;147,55
RBFF11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,50;0,73;15/06/2021;31/05/2021;0,53;0,77;71,70;0,96;13446,00;0,26;19097,00;268634459,58;68,71
RBGS11;Geral;Tijolo: Shoppings;Oliveira Trust;0,02;0,06;15/06/2021;31/05/2021;0,11;0,28;90,74;0,42;1653,00;0,00;2959,00;97817118,87;38,17
RBHY11;Geral;Papel: CRIs;BRL Trust DTVM;1,20;1,17;15/06/2021;31/05/2021;0,29;0,28;101,79;1,01;317,00;0,00;216,00;61072405,02;102,80
RBIR11;Geral;Tijolo: Desenvolvimento;Oliveira Trust;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;96,70;0,00;295,00;0,00;1197,00;147816452,31;0,00
RBIV11;Geral;Papel: CRIs;BRL Trust DTVM;0,70;0,84;15/06/2021;31/05/2021;0,62;0,74;102,96;0,81;4803,00;0,00;3142,00;105464967,11;83,50
RBLG11;Investidor Qualificado;Tijolo: Galpões;BTG Pactual;0,53;0,49;08/06/2021;01/06/2021;0,12;0,12;114,05;0,94;4,00;0,00;64,00;73013549,43;107,00
RBRD11;Geral;Tijolo: Varejo;Votorantim Asset Management;0,05;0,08;15/06/2021;31/05/2021;1,68;2,80;71,44;0,84;3198,00;0,11;12020,00;132282376,33;60,10
RBRF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,60;0,68;17/06/2021;10/06/2021;0,00;0,00;89,62;0,98;56430,00;1,21;73350,00;1226124289,97;87,93
RBRL11;Geral;Tijolo: Galpões;BRL Trust DTVM;0,70;0,65;15/06/2021;08/06/2021;0,73;0,68;106,99;1,00;33325,00;0,00;5791,00;715432791,49;106,89
RBRM11;Investidor Qualificado;Tijolo: Desenvolvimento;BTG Pactual;15,50;0,00;19/04/2021;12/04/2021;1680,36;0,00;163617,05;0,00;1,00;0,00;54,00;88189591,65;0,00
RBRP11;Geral;Tijolo: Escritórios;BRL Trust DTVM;0,32;0,37;15/06/2021;08/06/2021;0,53;0,62;86,63;0,99;71023,00;1,03;88346,00;1055098676,95;85,90
RBRR11;Geral;Papel: CRIs;BTG Pactual;0,80;0,79;17/06/2021;10/06/2021;0,00;0,00;99,51;1,02;64327,00;1,05;70464,00;760100875,11;101,50
RBRS11;Geral;Tijolo: Desenvolvimento;Rio Bravo Investimentos;0,40;0,54;15/06/2021;31/05/2021;0,20;0,27;96,40;0,77;252,00;0,00;1153,00;100701755,51;74,57
RBRY11;Geral;Papel: CRIs;BTG Pactual;0,75;0,72;17/06/2021;10/06/2021;0,00;0,00;102,96;1,01;21070,00;0,00;8933,00;349785652,72;104,10
RBTS11;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;1050,75;0,00;1,00;0,00;56,00;59393774,96;0,00
RBVA11;Geral;Tijolo: Bancário;Rio Bravo Investimentos;0,85;0,77;15/06/2021;31/05/2021;0,95;0,85;113,98;0,97;17378,00;1,32;40696,00;1320790070,80;110,73
RBVO11;Geral;Papel: CRIs;Rio Bravo Investimentos;0,04;0,35;09/06/2021;31/05/2021;0,08;0,62;22,88;0,55;1075,00;0,00;2066,00;11801375,84;12,50
RCFA11;Investidor Qualificado;Tijolo: Desenvolvimento;Terra Investimentos DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;1,56;0,00;10830,00;0,00;3617,00;18263993,00;0,00
RCFF11;Investidor Qualificado;Papel: Fundo de Fundos;BRL Trust DTVM;3,11;2,87;22/01/2021;14/01/2021;0,16;0,15;98,34;1,10;113,00;0,00;81,00;31782377,65;108,50
RCRB11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;0,80;0,52;15/06/2021;07/06/2021;0,00;0,00;196,41;0,78;35644,00;0,56;29434,00;724878219,59;152,41
RCRI11B;Investidor Qualificado;Papel: CRIs;Oliveira Trust;19,70;0,00;01/03/2021;19/02/2021;7,46;0,00;1032,90;0,00;2,00;0,00;148,00;52690426,09;0,00
RDPD11;Geral;Papel: CRIs;Votorantim Asset Management;0,41;0,49;15/06/2021;31/05/2021;0,43;0,51;98,84;0,85;380,00;0,00;770,00;106549724,70;84,23
RECR11;Geral;Papel: CRIs;BRL Trust DTVM;1,20;1,16;15/06/2021;08/06/2021;1,19;1,15;95,78;1,08;74358,00;1,92;72320,00;1363525760,42;103,69
RECT11;Geral;Indefinido;BRL Trust DTVM;0,60;0,74;15/06/2021;08/06/2021;0,77;0,95;93,05;0,87;55854,00;0,65;73544,00;761087076,66;80,91
RECX11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,90;0,95;22/06/2021;15/06/2021;0,15;0,16;91,57;1,04;72,00;0,00;348,00;18144483,26;95,10
REIT11;Investidor Qualificado;Papel: CRIs;Socopa Sociedade Corretora Paulista;24,53;2,20;15/04/2021;31/03/2021;21,64;1,94;1264,03;0,88;281,00;0,00;61,00;33232500,09;1113,20
RELG11;Geral;Tijolo: Galpões;BRL Trust DTVM;0,70;0,72;15/06/2021;08/06/2021;0,39;0,40;96,51;1,01;3727,00;0,00;3661,00;123734508,39;97,48
RFOF11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,63;0,77;14/06/2021;31/05/2021;0,57;0,69;91,83;0,89;11085,00;0,09;3500,00;99008768,48;81,97
RMAI11;Geral;Tijolo: Escritórios;Reag DTVM;5,33;0,00;10/05/2016;02/05/2016;0,00;0,00;108,63;0,00;171,00;0,00;1158,00;265475108,03;0,00
RNDP11;Geral;Papel: CRIs;Votorantim Asset Management;4,14;0,58;15/06/2021;31/05/2021;3,89;0,55;769,82;0,92;197,00;0,00;875,00;82740838,99;708,00
RNGO11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;0,37;0,59;15/06/2021;31/05/2021;0,46;0,73;101,25;0,62;7420,00;0,17;15881,00;270942156,09;63,11
RRCI11;Geral;Papel: CRIs;BRL Trust DTVM;0,70;0,80;14/06/2021;31/05/2021;0,00;0,00;96,98;0,90;1249,00;0,00;1983,00;46722236,46;87,28
RSPD11;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;1144,43;0,00;4,00;0,00;30,00;170503384,96;0,00
RVBI11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,72;0,76;16/06/2021;09/06/2021;0,00;0,00;92,49;1,02;12151,00;0,14;11037,00;133183538,96;94,69
RZAK11;Geral;Papel: CRIs;BTG Pactual;0,90;0,94;22/06/2021;15/06/2021;0,00;0,00;97,21;0,99;26735,00;0,00;6713,00;291794705,84;95,90
RZTR11;Geral;Indefinido;Brasil Plural SA Banco Múltiplo;0,50;0,49;08/06/2021;31/05/2021;0,43;0,43;96,81;1,05;69877,00;1,03;30109,00;1069504651,37;101,79
SADI11;Geral;Papel: CRIs;Santander Securities Services Brasil DTVM;0,28;0,33;15/06/2021;31/05/2021;0,22;0,26;100,45;0,84;16589,00;0,27;2860,00;319447459,61;84,10
SAIC11B;Investidor Qualificado;Tijolo: Escritórios;BRB DTVM;0,66;1,09;16/10/2018;01/10/2018;0,00;0,00;54,39;1,12;2,00;0,00;52,00;77761114,57;61,00
SARE11;Geral;Indefinido;Santander Securities Services Brasil DTVM;0,64;0,63;15/06/2021;31/05/2021;0,42;0,41;100,08;1,01;15468,00;0,56;6586,00;535903649,61;101,10
SCPF11;Geral;Tijolo: Shoppings;BR-CAPITAL;0,01;0,09;15/06/2021;07/06/2021;0,00;0,00;12,65;0,72;1443,00;0,00;4699,00;53134151,13;9,10
SDIL11;Geral;Tijolo: Galpões;Rio Bravo Investimentos;0,60;0,63;15/06/2021;31/05/2021;0,61;0,64;100,36;0,94;34258,00;0,62;45975,00;641814142,33;94,50
SEQR11;Geral;Indefinido;Vórtx DTVM LTDA;0,67;0,83;15/06/2021;08/06/2021;0,00;0,00;105,78;0,76;4252,00;0,00;1283,00;156776100,90;80,85
SFND11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;5,51;0,00;15/12/2020;07/12/2020;7,66;0,00;17,96;0,00;0,00;0,00;55,00;17631763,89;0,00
SHDP11B;Geral;Tijolo: Shoppings;BTG Pactual;1,21;0,00;18/06/2021;11/06/2021;0,00;0,00;1490,40;0,00;2,00;0,00;3,00;2141110424,01;0,00
SHOP11;Investidor Qualificado;Tijolo: Shoppings;Banco Modal SA;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;60,00;0,00;0,00;0,00;11,00;88878414,23;0,00
SHPH11;Geral;Tijolo: Shoppings;Rio Bravo Investimentos;2,20;0,27;15/06/2021;31/05/2021;2,18;0,27;822,29;1,00;754,00;0,00;3131,00;500734117,94;820,00
SJAU11;Investidor Qualificado;Tijolo: Galpões;Vórtx DTVM LTDA;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;99,97;0,00;7,00;0,00;115,00;792986642,01;0,00
SNFF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,12;0,12;25/06/2021;15/06/2021;0,01;0,01;97,35;1,06;134113,00;0,00;23884,00;243372074,74;103,28
SOLR11;Geral;Tijolo: Outros;BRL Trust DTVM;76,33;0,00;12/02/2021;02/02/2021;0,00;0,00;1033,97;0,00;2,00;0,00;32,00;65018883,98;0,00
SPAF11;Investidor Qualificado;Tijolo: Shoppings;Brasil Plural SA Banco Múltiplo;3,45;0,00;08/06/2021;31/05/2021;0,00;0,00;1003,17;0,00;0,00;0,00;1,00;11305743,83;0,00
SPTW11;Geral;Tijolo: Escritórios;Genial Investimentos Corretora de Valores;0,60;1,23;08/06/2021;31/05/2021;1,18;2,43;51,94;0,94;13213,00;0,10;17378,00;93395880,85;48,78
STRX11;Geral;Tijolo: Desenvolvimento;Oliveira Trust;52,68;0,00;08/06/2021;31/05/2021;41,82;0,00;18295,17;0,00;0,00;0,00;53,00;295203364,69;0,00
TBOF11;Geral;Tijolo: Escritórios;BTG Pactual;0,09;0,00;31/07/2020;22/07/2020;0,86;0,00;0,13;0,00;2769,00;0,00;9158,00;1313498,11;0,00
TCIN11;Investidor Qualificado;Tijolo: Escritórios;Singulare CTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;126,44;0,00;114,00;0,00;111,00;88914056,89;0,00
TCPF11;Geral;Indefinido;BR-CAPITAL;12,46;0,00;18/06/2021;10/06/2021;0,00;0,00;108,89;0,00;0,00;0,00;52,00;32377415,77;0,00
TEPP11;Geral;Tijolo: Escritórios;BRL Trust DTVM;0,45;0,57;15/06/2021;31/05/2021;0,53;0,66;94,49;0,84;15230,00;0,34;8012,00;398937744,50;79,34
TGAR11;Geral;Tijolo: Desenvolvimento;Vórtx DTVM LTDA;1,16;0,84;09/06/2021;31/05/2021;1,28;0,92;127,65;1,09;57907,00;1,46;52224,00;944421581,48;138,60
THRA11;Geral;Tijolo: Escritórios;Hedge Investments DTVM LTDA;0,15;0,11;15/06/2021;08/06/2021;0,52;0,38;113,82;1,20;1166,00;0,00;2219,00;167623420,09;136,60
TORD11;Geral;Indefinido;Vórtx DTVM LTDA;0,07;0,66;15/06/2021;08/06/2021;0,12;1,13;10,62;1,00;74264,00;0,37;62700,00;285831314,30;10,59
TORM13;Investidor Qualificado;Tijolo: Desenvolvimento;Vórtx DTVM LTDA;9,96;0,00;15/06/2021;31/05/2021;3,79;0,00;1807,68;0,00;0,00;0,00;324,00;18076809,44;0,00
TOUR11;Investidor Qualificado;Tijolo: Desenvolvimento;Vórtx DTVM LTDA;1,99;1,68;15/06/2021;31/05/2021;0,00;0,00;583,35;0,20;149,00;0,00;207,00;5833523,87;118,47
TRNT11;Geral;Tijolo: Escritórios;BTG Pactual;0,40;0,27;18/06/2021;11/06/2021;0,00;0,00;207,32;0,71;460,00;0,00;712,00;815933561,16;147,41
TRXB11;Geral;Tijolo: Desenvolvimento;BRL Trust DTVM;0,80;0,67;15/06/2021;31/05/2021;0,62;0,52;105,79;1,12;181,00;0,00;118,00;264631855,70;119,00
TRXF11;Geral;Tijolo: Outros;BRL Trust DTVM;0,70;0,66;15/06/2021;31/05/2021;0,70;0,66;106,11;0,99;50288,00;0,61;28515,00;598611038,92;105,48
TSNC11;Geral;Tijolo: Outros;BTG Pactual;35,10;0,00;22/06/2021;15/06/2021;39,14;0,00;5447,93;0,00;0,00;0,00;66,00;98678322,71;0,00
URPR11;Geral;Papel: CRIs;Vórtx DTVM LTDA;2,06;1,64;15/06/2021;31/05/2021;1,77;1,41;99,92;1,26;25540,00;0,22;9096,00;165905711,66;125,80
VCJR11;Geral;Papel: CRIs;INTRAG DTVM;0,79;0,77;14/06/2021;31/05/2021;0,75;0,74;98,96;1,03;8981,00;1,17;6697,00;1148318898,79;102,00
VCRR11;Geral;Tijolo: Outros;BRL Trust DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;100,00;0,00;0,00;0,00;1854,00;200000000,00;0,00
VERE11;Geral;Tijolo: Galpões;Votorantim Asset Management;2,04;0,00;10/06/2021;31/05/2021;1,74;0,00;314,26;0,00;1,00;0,00;54,00;172871056,10;0,00
VGHF11;Geral;Papel: Híbrido;Banco Daycoval SA;0,10;1,05;08/06/2021;31/05/2021;0,02;0,22;9,77;0,98;15728,00;0,00;2640,00;160838723,42;9,54
VGIP11;Geral;Papel: CRIs;BTG Pactual;1,04;1,01;18/06/2021;11/06/2021;0,00;0,00;95,66;1,07;45063,00;0,78;30529,00;514430345,26;102,64
VGIR11;Geral;Papel: CRIs;BTG Pactual;0,50;0,55;18/06/2021;11/06/2021;0,00;0,00;96,77;0,94;29564,00;0,41;22274,00;436095972,90;91,20
VIFI11;Geral;Papel: Fundo de Fundos;BRL Trust DTVM;0,60;0,67;15/06/2021;31/05/2021;0,62;0,70;98,51;0,90;15843,00;0,00;4348,00;277055966,59;89,04
VILG11;Geral;Tijolo: Galpões;BRL Trust DTVM;0,57;0,49;15/06/2021;31/05/2021;0,60;0,51;114,46;1,02;90900,00;1,80;135467,00;1716537713,31;117,02
VINO11;Geral;Tijolo: Escritórios;BRL Trust DTVM;0,45;0,75;15/06/2021;31/05/2021;0,43;0,72;59,85;1,01;53934,00;0,78;77055,00;758552977,13;60,25
VISC11;Geral;Tijolo: Shoppings;BRL Trust DTVM;0,35;0,32;15/06/2021;31/05/2021;0,35;0,32;119,45;0,91;66770,00;1,59;194012,00;1704682134,90;109,11
VLJS11;Investidor Qualificado;Tijolo: Escritórios;Planner Corretora de Valores;18,24;0,00;20/06/2021;31/05/2021;0,00;0,00;798,14;0,00;0,00;0,00;12,00;47072303,02;0,00
VLOL11;Geral;Tijolo: Escritórios;Oliveira Trust;0,41;0,41;15/06/2021;31/05/2021;0,45;0,46;96,97;1,02;1839,00;0,00;4772,00;173066588,66;99,01
VOTS11;Geral;Papel: CRIs;Votorantim Asset Management;0,41;0,49;15/06/2021;31/05/2021;0,39;0,47;98,93;0,83;197,00;0,00;305,00;81909487,55;82,52
VPSI11;Geral;Tijolo: Shoppings;Votorantim Asset Management;0,05;0,00;11/06/2021;02/06/2021;0,00;0,00;18,22;0,00;0,00;0,00;57,00;147044918,71;0,00
VRTA11;Geral;Papel: CRIs;Banco Fator;1,04;0,93;15/06/2021;31/05/2021;0,87;0,77;101,07;1,11;29586,00;1,13;91020,00;1010652173,25;112,42
VSEC11;Investidor Qualificado;Papel: CRIs;Votorantim Asset Management;3,04;3,11;15/06/2021;31/05/2021;0,00;0,00;0,38;256,86;887,00;0,00;41,00;6393711,59;97,48
VSHO11;Geral;Tijolo: Shoppings;Votorantim Asset Management;0,35;0,47;09/06/2021;31/05/2021;0,11;0,15;100,44;0,74;693,00;0,00;1835,00;210803855,72;73,83
VSLH11;Geral;Papel: CRIs;Vórtx DTVM LTDA;0,17;1,64;15/06/2021;08/06/2021;0,00;0,00;10,07;1,03;15843,00;0,00;5414,00;120827259,18;10,39
VTLT11;Geral;Tijolo: Galpões;Votorantim Asset Management;0,75;0,69;09/06/2021;31/05/2021;0,74;0,67;102,21;1,07;12495,00;0,23;5540,00;216175118,26;109,00
VVPR11;Geral;Tijolo: Escritórios;BTG Pactual;0,65;0,65;08/06/2021;31/05/2021;0,66;0,66;100,00;1,00;1168,00;0,00;1139,00;230577817,74;100,00
VXXV11;Investidor Qualificado;Tijolo: Outros;Vórtx DTVM LTDA;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;491,67;0,00;0,00;0,00;4,00;25566994,94;0,00
WPLZ11;Geral;Tijolo: Shoppings;Hedge Investments DTVM LTDA;0,10;0,15;12/03/2021;26/02/2021;0,42;0,61;104,71;0,65;283,00;0,00;1946,00;106880016,87;68,49
WTSP11B;Investidor Qualificado;Tijolo: Híbrido;Banco Ourinvest SA;0,22;0,49;22/06/2021;15/06/2021;0,16;0,36;79,65;0,57;122,00;0,00;200,00;79060153,00;45,50
XPCI11;Geral;Papel: CRIs;Vórtx DTVM LTDA;1,00;1,00;15/06/2021;31/05/2021;0,77;0,77;96,93;1,03;102467,00;0,68;30298,00;636538861,21;99,99
XPCM11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;0,39;0,98;15/06/2021;31/05/2021;0,82;2,04;71,79;0,56;15336,00;0,10;32708,00;173353021,06;40,00
XPHT11;Investidor Qualificado;Tijolo: Hotéis;Genial Investimentos Corretora de Valores Mobiliários SA;0,34;0,40;15/04/2020;31/03/2020;0,44;0,52;86,84;0,98;765,00;0,00;1550,00;330389677,16;85,00
XPIN11;Geral;Tijolo: Galpões;Vórtx DTVM LTDA;0,62;0,59;25/06/2021;18/06/2021;0,00;0,00;110,83;0,96;30524,00;0,71;52224,00;729986712,29;105,96
XPLG11;Geral;Tijolo: Galpões;Vórtx DTVM LTDA;0,61;0,54;15/06/2021;31/05/2021;0,63;0,56;110,45;1,03;143877,00;3,11;263359,00;2993276336,48;113,64
XPML11;Geral;Tijolo: Shoppings;BTG Pactual;0,40;0,38;25/06/2021;18/06/2021;0,00;0,00;109,86;0,96;105603,00;1,95;251800,00;2000303504,05;105,45
XPPR11;Geral;Tijolo: Escritórios;Vórtx DTVM LTDA;0,48;0,75;15/06/2021;31/05/2021;0,68;1,07;85,74;0,75;54045,00;0,50;40876,00;627324285,79;64,00
XPSF11;Geral;Papel: Fundo de Fundos;XP Investimentos;0,87;0,89;15/06/2021;31/05/2021;0,81;0,82;95,82;1,02;36952,00;0,43;18527,00;414931224,93;98,20
XTED11;Geral;Tijolo: Escritórios;BTG Pactual;0,32;0,00;14/07/2016;30/06/2016;0,00;0,00;13,97;0,00;979,00;0,00;4968,00;25862448,60;0,00
